NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.RXLPM_OS_CFG0,37,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXLPM_OS_CFG1,38,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXLPM_GC_CFG,39,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.DMONITOR_CFG1,3a,0,8,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.AEN_RXCDR,3a,0,7,7,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_CPLL,3a,0,6,6,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_RXDFE,3a,0,5,5,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_LOOPBACK,3a,0,4,4,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_RXDFELPM,3a,0,3,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_MASTER,3a,0,2,2,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_PD_AND_EIDLE,3a,0,1,1,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_POLARITY,3a,0,0,0,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_EYESCAN,3b,0,13,13,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_RXPLLCLK_SEL,3b,0,12,12,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_TXPLLCLK_SEL,3b,0,11,11,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_PRBS,3b,0,10,10,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_TXPI_PPM,3b,0,9,9,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_QPI,3b,0,8,8,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_RXPHDLY,3b,0,7,7,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_RESET,3b,0,6,6,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_RXOUTCLK_SEL,3b,0,5,5,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_RXSYSCLK_SEL,3b,0,4,4,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_TXPHDLY,3b,0,3,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_TX_DRIVE_MODE,3b,0,2,2,attr_hidden,rw,0,y,GTHE3_CHANNEL
